8f66d910-172e-11ed-a610-2dd4a9227126;ts_anglevertical;anglevertical;ts_charge;charge;ts_co2;co2;ts_humidity;humidity;ts_illumination;illumination;ts_noise;noise;ts_powerstate;powerstate;ts_temperature;temperature;ts_timestamp;timestamp;ts_type;type
;2022-08-09 19:20:49;11;2022-08-09 19:20:49;96;2022-08-09 19:20:49;453;2022-08-09 19:20:49;40;2022-08-09 19:20:49;0;2022-08-09 19:20:49;43;2022-08-09 19:20:49;1;2022-08-09 19:20:49;28.5;2022-08-09 19:20:49;1577933431;2022-08-09 19:20:49;normal
;2022-08-09 19:25:48;11;2022-08-09 19:25:48;96;2022-08-09 19:25:48;471;2022-08-09 19:25:48;40;2022-08-09 19:25:48;0;2022-08-09 19:25:48;43;2022-08-09 19:25:48;1;2022-08-09 19:25:48;28.5;2022-08-09 19:25:48;1577933731;2022-08-09 19:25:48;normal
;2022-08-09 19:30:49;11;2022-08-09 19:30:49;96;2022-08-09 19:30:49;458;2022-08-09 19:30:49;40;2022-08-09 19:30:49;0;2022-08-09 19:30:49;43;2022-08-09 19:30:49;1;2022-08-09 19:30:49;28.5;2022-08-09 19:30:49;1577934031;2022-08-09 19:30:49;normal
;2022-08-09 19:35:49;12;2022-08-09 19:35:49;96;2022-08-09 19:35:49;452;2022-08-09 19:35:49;40;2022-08-09 19:35:49;0;2022-08-09 19:35:49;43;2022-08-09 19:35:49;1;2022-08-09 19:35:49;28.5;2022-08-09 19:35:49;1577934331;2022-08-09 19:35:49;normal
;2022-08-09 19:40:48;11;2022-08-09 19:40:48;96;2022-08-09 19:40:48;459;2022-08-09 19:40:48;40;2022-08-09 19:40:48;0;2022-08-09 19:40:48;43;2022-08-09 19:40:48;1;2022-08-09 19:40:48;28.5;2022-08-09 19:40:48;1577934631;2022-08-09 19:40:48;normal
;2022-08-09 19:45:48;11;2022-08-09 19:45:48;96;2022-08-09 19:45:48;453;2022-08-09 19:45:48;40;2022-08-09 19:45:48;0;2022-08-09 19:45:48;43;2022-08-09 19:45:48;1;2022-08-09 19:45:48;28.5;2022-08-09 19:45:48;1577934931;2022-08-09 19:45:48;normal
;2022-08-09 19:50:49;11;2022-08-09 19:50:49;96;2022-08-09 19:50:49;456;2022-08-09 19:50:49;40;2022-08-09 19:50:49;0;2022-08-09 19:50:49;44;2022-08-09 19:50:49;1;2022-08-09 19:50:49;28.5;2022-08-09 19:50:49;1577935231;2022-08-09 19:50:49;normal
;2022-08-09 19:55:49;11;2022-08-09 19:55:49;96;2022-08-09 19:55:49;461;2022-08-09 19:55:49;40;2022-08-09 19:55:49;0;2022-08-09 19:55:49;44;2022-08-09 19:55:49;1;2022-08-09 19:55:49;28.4;2022-08-09 19:55:49;1577935531;2022-08-09 19:55:49;normal
;2022-08-09 20:00:48;11;2022-08-09 20:00:48;96;2022-08-09 20:00:48;454;2022-08-09 20:00:48;40;2022-08-09 20:00:48;0;2022-08-09 20:00:48;44;2022-08-09 20:00:48;1;2022-08-09 20:00:48;28.5;2022-08-09 20:00:48;1577935831;2022-08-09 20:00:48;normal
;2022-08-09 20:05:48;11;2022-08-09 20:05:48;96;2022-08-09 20:05:48;457;2022-08-09 20:05:48;40;2022-08-09 20:05:48;0;2022-08-09 20:05:48;43;2022-08-09 20:05:48;1;2022-08-09 20:05:48;28.4;2022-08-09 20:05:48;1577936131;2022-08-09 20:05:48;normal
;2022-08-09 20:10:48;11;2022-08-09 20:10:48;96;2022-08-09 20:10:48;459;2022-08-09 20:10:48;40;2022-08-09 20:10:48;0;2022-08-09 20:10:48;44;2022-08-09 20:10:48;1;2022-08-09 20:10:48;28.4;2022-08-09 20:10:48;1577936431;2022-08-09 20:10:48;normal
