c5f6b3c0-172d-11ed-a610-2dd4a9227126;ts_anglevertical;anglevertical;ts_charge;charge;ts_co2;co2;ts_humidity;humidity;ts_illumination;illumination;ts_noise;noise;ts_powerstate;powerstate;ts_temperature;temperature;ts_timestamp;timestamp;ts_type;type
;2022-08-09 20:00:26;89;2022-08-09 20:00:26;96;2022-08-09 20:00:26;609;2022-08-09 20:00:26;41;2022-08-09 20:00:26;12;2022-08-09 20:00:26;46;2022-08-09 20:00:26;1;2022-08-09 20:00:26;28.6;2022-08-09 20:00:26;1577935831;2022-08-09 20:00:26;normal
;2022-08-09 20:05:26;89;2022-08-09 20:05:26;96;2022-08-09 20:05:26;614;2022-08-09 20:05:26;41;2022-08-09 20:05:26;12;2022-08-09 20:05:26;46;2022-08-09 20:05:26;1;2022-08-09 20:05:26;28.4;2022-08-09 20:05:26;1577936131;2022-08-09 20:05:26;normal
;2022-08-09 20:10:26;87;2022-08-09 20:10:26;96;2022-08-09 20:10:26;605;2022-08-09 20:10:26;41;2022-08-09 20:10:26;10;2022-08-09 20:10:26;46;2022-08-09 20:10:26;1;2022-08-09 20:10:26;28.6;2022-08-09 20:10:26;1577936431;2022-08-09 20:10:26;normal
;2022-08-09 20:15:26;90;2022-08-09 20:15:26;96;2022-08-09 20:15:26;595;2022-08-09 20:15:26;41;2022-08-09 20:15:26;7;2022-08-09 20:15:26;46;2022-08-09 20:15:26;1;2022-08-09 20:15:26;28.6;2022-08-09 20:15:26;1577936731;2022-08-09 20:15:26;normal
;2022-08-09 20:20:26;89;2022-08-09 20:20:26;96;2022-08-09 20:20:26;604;2022-08-09 20:20:26;41;2022-08-09 20:20:26;5;2022-08-09 20:20:26;46;2022-08-09 20:20:26;1;2022-08-09 20:20:26;28.6;2022-08-09 20:20:26;1577937031;2022-08-09 20:20:26;normal
;2022-08-09 20:25:26;89;2022-08-09 20:25:26;96;2022-08-09 20:25:26;600;2022-08-09 20:25:26;41;2022-08-09 20:25:26;5;2022-08-09 20:25:26;46;2022-08-09 20:25:26;1;2022-08-09 20:25:26;28.6;2022-08-09 20:25:26;1577937331;2022-08-09 20:25:26;normal
;2022-08-09 20:30:26;89;2022-08-09 20:30:26;96;2022-08-09 20:30:26;604;2022-08-09 20:30:26;41;2022-08-09 20:30:26;2;2022-08-09 20:30:26;46;2022-08-09 20:30:26;1;2022-08-09 20:30:26;28.6;2022-08-09 20:30:26;1577937631;2022-08-09 20:30:26;normal
;2022-08-09 20:35:26;89;2022-08-09 20:35:26;96;2022-08-09 20:35:26;599;2022-08-09 20:35:26;41;2022-08-09 20:35:26;2;2022-08-09 20:35:26;46;2022-08-09 20:35:26;1;2022-08-09 20:35:26;28.5;2022-08-09 20:35:26;1577937931;2022-08-09 20:35:26;normal
;2022-08-09 20:40:26;90;2022-08-09 20:40:26;96;2022-08-09 20:40:26;585;2022-08-09 20:40:26;41;2022-08-09 20:40:26;0;2022-08-09 20:40:26;46;2022-08-09 20:40:26;1;2022-08-09 20:40:26;28.5;2022-08-09 20:40:26;1577938231;2022-08-09 20:40:26;normal
;2022-08-09 20:45:26;89;2022-08-09 20:45:26;96;2022-08-09 20:45:26;589;2022-08-09 20:45:26;41;2022-08-09 20:45:26;0;2022-08-09 20:45:26;46;2022-08-09 20:45:26;1;2022-08-09 20:45:26;28.5;2022-08-09 20:45:26;1577938531;2022-08-09 20:45:26;normal
;2022-08-09 20:50:26;88;2022-08-09 20:50:26;96;2022-08-09 20:50:26;612;2022-08-09 20:50:26;41;2022-08-09 20:50:26;0;2022-08-09 20:50:26;46;2022-08-09 20:50:26;1;2022-08-09 20:50:26;28.5;2022-08-09 20:50:26;1577938831;2022-08-09 20:50:26;normal
;2022-08-09 20:55:26;89;2022-08-09 20:55:26;96;2022-08-09 20:55:26;597;2022-08-09 20:55:26;41;2022-08-09 20:55:26;0;2022-08-09 20:55:26;46;2022-08-09 20:55:26;1;2022-08-09 20:55:26;28.5;2022-08-09 20:55:26;1577939131;2022-08-09 20:55:26;normal
;2022-08-09 21:00:26;89;2022-08-09 21:00:26;96;2022-08-09 21:00:26;602;2022-08-09 21:00:26;41;2022-08-09 21:00:26;0;2022-08-09 21:00:26;46;2022-08-09 21:00:26;1;2022-08-09 21:00:26;28.5;2022-08-09 21:00:26;1577939431;2022-08-09 21:00:26;normal
;2022-08-09 21:05:26;90;2022-08-09 21:05:26;96;2022-08-09 21:05:26;606;2022-08-09 21:05:26;41;2022-08-09 21:05:26;0;2022-08-09 21:05:26;46;2022-08-09 21:05:26;1;2022-08-09 21:05:26;28.4;2022-08-09 21:05:26;1577939731;2022-08-09 21:05:26;normal
;2022-08-09 21:10:26;89;2022-08-09 21:10:26;96;2022-08-09 21:10:26;580;2022-08-09 21:10:26;41;2022-08-09 21:10:26;0;2022-08-09 21:10:26;46;2022-08-09 21:10:26;1;2022-08-09 21:10:26;28.4;2022-08-09 21:10:26;1577940031;2022-08-09 21:10:26;normal
;2022-08-09 21:15:26;89;2022-08-09 21:15:26;96;2022-08-09 21:15:26;605;2022-08-09 21:15:26;41;2022-08-09 21:15:26;0;2022-08-09 21:15:26;46;2022-08-09 21:15:26;1;2022-08-09 21:15:26;28.4;2022-08-09 21:15:26;1577940331;2022-08-09 21:15:26;normal
;2022-08-09 21:20:26;90;2022-08-09 21:20:26;96;2022-08-09 21:20:26;593;2022-08-09 21:20:26;41;2022-08-09 21:20:26;0;2022-08-09 21:20:26;46;2022-08-09 21:20:26;1;2022-08-09 21:20:26;28.4;2022-08-09 21:20:26;1577940631;2022-08-09 21:20:26;normal
;2022-08-09 21:25:26;90;2022-08-09 21:25:26;96;2022-08-09 21:25:26;600;2022-08-09 21:25:26;41;2022-08-09 21:25:26;0;2022-08-09 21:25:26;46;2022-08-09 21:25:26;1;2022-08-09 21:25:26;28.4;2022-08-09 21:25:26;1577940931;2022-08-09 21:25:26;normal
;2022-08-09 21:30:26;90;2022-08-09 21:30:26;96;2022-08-09 21:30:26;593;2022-08-09 21:30:26;41;2022-08-09 21:30:26;0;2022-08-09 21:30:26;46;2022-08-09 21:30:26;1;2022-08-09 21:30:26;28.4;2022-08-09 21:30:26;1577941231;2022-08-09 21:30:26;normal
