edaae300-172d-11ed-a610-2dd4a9227126;ts_anglevertical;anglevertical;ts_charge;charge;ts_co2;co2;ts_humidity;humidity;ts_illumination;illumination;ts_noise;noise;ts_powerstate;powerstate;ts_temperature;temperature;ts_timestamp;timestamp;ts_type;type
;2022-08-09 20:18:48;86;2022-08-09 20:18:48;96;2022-08-09 20:18:48;635;2022-08-09 20:18:48;39;2022-08-09 20:18:48;5;2022-08-09 20:18:48;46;2022-08-09 20:18:48;1;2022-08-09 20:18:48;29.2;2022-08-09 20:18:48;1577937029;2022-08-09 20:18:48;normal
;2022-08-09 20:23:48;86;2022-08-09 20:23:48;96;2022-08-09 20:23:48;609;2022-08-09 20:23:48;39;2022-08-09 20:23:48;2;2022-08-09 20:23:48;45;2022-08-09 20:23:48;1;2022-08-09 20:23:48;29.2;2022-08-09 20:23:48;1577937329;2022-08-09 20:23:48;normal
;2022-08-09 20:28:48;86;2022-08-09 20:28:48;96;2022-08-09 20:28:48;597;2022-08-09 20:28:48;39;2022-08-09 20:28:48;2;2022-08-09 20:28:48;46;2022-08-09 20:28:48;1;2022-08-09 20:28:48;29.2;2022-08-09 20:28:48;1577937629;2022-08-09 20:28:48;normal
;2022-08-09 20:38:48;86;2022-08-09 20:38:48;96;2022-08-09 20:38:48;605;2022-08-09 20:38:48;39;2022-08-09 20:38:48;2;2022-08-09 20:38:48;46;2022-08-09 20:38:48;1;2022-08-09 20:38:48;29.1;2022-08-09 20:38:48;1577937994;2022-08-09 20:38:48;normal
;2022-08-09 20:38:50;86;2022-08-09 20:38:50;96;2022-08-09 20:38:50;636;2022-08-09 20:38:50;39;2022-08-09 20:38:50;0;2022-08-09 20:38:50;50;2022-08-09 20:38:50;1;2022-08-09 20:38:50;29.1;2022-08-09 20:38:50;1577938229;2022-08-09 20:38:50;normal
;2022-08-09 20:43:48;86;2022-08-09 20:43:48;96;2022-08-09 20:43:48;630;2022-08-09 20:43:48;40;2022-08-09 20:43:48;0;2022-08-09 20:43:48;45;2022-08-09 20:43:48;1;2022-08-09 20:43:48;29.1;2022-08-09 20:43:48;1577938529;2022-08-09 20:43:48;normal
;2022-08-09 20:48:48;86;2022-08-09 20:48:48;96;2022-08-09 20:48:48;626;2022-08-09 20:48:48;40;2022-08-09 20:48:48;0;2022-08-09 20:48:48;45;2022-08-09 20:48:48;1;2022-08-09 20:48:48;29.1;2022-08-09 20:48:48;1577938829;2022-08-09 20:48:48;normal
;2022-08-09 20:53:48;87;2022-08-09 20:53:48;96;2022-08-09 20:53:48;623;2022-08-09 20:53:48;40;2022-08-09 20:53:48;0;2022-08-09 20:53:48;46;2022-08-09 20:53:48;1;2022-08-09 20:53:48;29;2022-08-09 20:53:48;1577939129;2022-08-09 20:53:48;normal
;2022-08-09 20:58:48;86;2022-08-09 20:58:48;96;2022-08-09 20:58:48;633;2022-08-09 20:58:48;40;2022-08-09 20:58:48;0;2022-08-09 20:58:48;46;2022-08-09 20:58:48;1;2022-08-09 20:58:48;29;2022-08-09 20:58:48;1577939429;2022-08-09 20:58:48;normal
;2022-08-09 21:03:48;85;2022-08-09 21:03:48;96;2022-08-09 21:03:48;633;2022-08-09 21:03:48;40;2022-08-09 21:03:48;0;2022-08-09 21:03:48;46;2022-08-09 21:03:48;1;2022-08-09 21:03:48;29;2022-08-09 21:03:48;1577939729;2022-08-09 21:03:48;normal
;2022-08-09 21:08:48;86;2022-08-09 21:08:48;96;2022-08-09 21:08:48;612;2022-08-09 21:08:48;40;2022-08-09 21:08:48;0;2022-08-09 21:08:48;45;2022-08-09 21:08:48;1;2022-08-09 21:08:48;29;2022-08-09 21:08:48;1577940029;2022-08-09 21:08:48;normal
;2022-08-09 21:13:48;86;2022-08-09 21:13:48;96;2022-08-09 21:13:48;629;2022-08-09 21:13:48;40;2022-08-09 21:13:48;0;2022-08-09 21:13:48;46;2022-08-09 21:13:48;1;2022-08-09 21:13:48;29;2022-08-09 21:13:48;1577940329;2022-08-09 21:13:48;normal
;2022-08-09 21:18:48;86;2022-08-09 21:18:48;96;2022-08-09 21:18:48;621;2022-08-09 21:18:48;40;2022-08-09 21:18:48;0;2022-08-09 21:18:48;46;2022-08-09 21:18:48;1;2022-08-09 21:18:48;28.9;2022-08-09 21:18:48;1577940635;2022-08-09 21:18:48;normal
;2022-08-09 21:23:48;86;2022-08-09 21:23:48;96;2022-08-09 21:23:48;614;2022-08-09 21:23:48;40;2022-08-09 21:23:48;0;2022-08-09 21:23:48;48;2022-08-09 21:23:48;1;2022-08-09 21:23:48;28.9;2022-08-09 21:23:48;1577940929;2022-08-09 21:23:48;normal
;2022-08-09 21:28:48;86;2022-08-09 21:28:48;96;2022-08-09 21:28:48;621;2022-08-09 21:28:48;41;2022-08-09 21:28:48;0;2022-08-09 21:28:48;45;2022-08-09 21:28:48;1;2022-08-09 21:28:48;28.9;2022-08-09 21:28:48;1577941229;2022-08-09 21:28:48;normal
;2022-08-09 21:33:48;86;2022-08-09 21:33:48;96;2022-08-09 21:33:48;619;2022-08-09 21:33:48;41;2022-08-09 21:33:48;0;2022-08-09 21:33:48;46;2022-08-09 21:33:48;1;2022-08-09 21:33:48;28.9;2022-08-09 21:33:48;1577941529;2022-08-09 21:33:48;normal
;2022-08-09 21:38:48;87;2022-08-09 21:38:48;96;2022-08-09 21:38:48;623;2022-08-09 21:38:48;41;2022-08-09 21:38:48;0;2022-08-09 21:38:48;46;2022-08-09 21:38:48;1;2022-08-09 21:38:48;28.9;2022-08-09 21:38:48;1577941829;2022-08-09 21:38:48;normal
;2022-08-09 21:43:48;86;2022-08-09 21:43:48;96;2022-08-09 21:43:48;626;2022-08-09 21:43:48;41;2022-08-09 21:43:48;0;2022-08-09 21:43:48;46;2022-08-09 21:43:48;1;2022-08-09 21:43:48;28.9;2022-08-09 21:43:48;1577942129;2022-08-09 21:43:48;normal
;2022-08-09 21:48:48;86;2022-08-09 21:48:48;96;2022-08-09 21:48:48;622;2022-08-09 21:48:48;41;2022-08-09 21:48:48;0;2022-08-09 21:48:48;46;2022-08-09 21:48:48;1;2022-08-09 21:48:48;28.9;2022-08-09 21:48:48;1577942429;2022-08-09 21:48:48;normal
;2022-08-09 21:53:47;86;2022-08-09 21:53:47;96;2022-08-09 21:53:47;636;2022-08-09 21:53:47;41;2022-08-09 21:53:47;0;2022-08-09 21:53:47;46;2022-08-09 21:53:47;1;2022-08-09 21:53:47;28.8;2022-08-09 21:53:47;1577942729;2022-08-09 21:53:47;normal
;2022-08-09 21:58:47;86;2022-08-09 21:58:47;96;2022-08-09 21:58:47;615;2022-08-09 21:58:47;41;2022-08-09 21:58:47;0;2022-08-09 21:58:47;46;2022-08-09 21:58:47;1;2022-08-09 21:58:47;28.9;2022-08-09 21:58:47;1577943029;2022-08-09 21:58:47;normal
;2022-08-09 22:03:47;85;2022-08-09 22:03:47;96;2022-08-09 22:03:47;617;2022-08-09 22:03:47;41;2022-08-09 22:03:47;0;2022-08-09 22:03:47;46;2022-08-09 22:03:47;1;2022-08-09 22:03:47;28.9;2022-08-09 22:03:47;1577943329;2022-08-09 22:03:47;normal
;2022-08-09 22:08:47;86;2022-08-09 22:08:47;96;2022-08-09 22:08:47;618;2022-08-09 22:08:47;41;2022-08-09 22:08:47;0;2022-08-09 22:08:47;46;2022-08-09 22:08:47;1;2022-08-09 22:08:47;28.9;2022-08-09 22:08:47;1577943629;2022-08-09 22:08:47;normal
;2022-08-09 22:13:48;86;2022-08-09 22:13:48;96;2022-08-09 22:13:48;637;2022-08-09 22:13:48;41;2022-08-09 22:13:48;0;2022-08-09 22:13:48;46;2022-08-09 22:13:48;1;2022-08-09 22:13:48;28.8;2022-08-09 22:13:48;1577943929;2022-08-09 22:13:48;normal
;2022-08-09 22:18:48;88;2022-08-09 22:18:48;96;2022-08-09 22:18:48;639;2022-08-09 22:18:48;41;2022-08-09 22:18:48;0;2022-08-09 22:18:48;46;2022-08-09 22:18:48;1;2022-08-09 22:18:48;28.8;2022-08-09 22:18:48;1577944229;2022-08-09 22:18:48;normal
