ts_anglevertical;anglevertical;ts_charge;charge;ts_co2;co2;ts_humidity;humidity;ts_illumination;illumination;ts_noise;noise;ts_powerstate;powerstate;ts_temperature;temperature;ts_timestamp;timestamp;ts_type;type
2022-08-09 22:18:08;36;2022-08-09 22:18:08;95;2022-08-09 22:18:08;472;2022-08-09 22:18:08;44;2022-08-09 22:18:08;0;2022-08-09 22:18:08;46;2022-08-09 22:18:08;1;2022-08-09 22:18:08;27.9;2022-08-09 22:18:08;1577944532;2022-08-09 22:18:08;normal
2022-08-09 22:23:08;37;2022-08-09 22:23:08;95;2022-08-09 22:23:08;475;2022-08-09 22:23:08;44;2022-08-09 22:23:08;0;2022-08-09 22:23:08;46;2022-08-09 22:23:08;1;2022-08-09 22:23:08;27.9;2022-08-09 22:23:08;1577944832;2022-08-09 22:23:08;normal
2022-08-09 22:28:08;36;2022-08-09 22:28:08;95;2022-08-09 22:28:08;467;2022-08-09 22:28:08;44;2022-08-09 22:28:08;0;2022-08-09 22:28:08;46;2022-08-09 22:28:08;1;2022-08-09 22:28:08;27.9;2022-08-09 22:28:08;1577945132;2022-08-09 22:28:08;normal
2022-08-09 22:33:08;36;2022-08-09 22:33:08;95;2022-08-09 22:33:08;472;2022-08-09 22:33:08;44;2022-08-09 22:33:08;0;2022-08-09 22:33:08;46;2022-08-09 22:33:08;1;2022-08-09 22:33:08;27.9;2022-08-09 22:33:08;1577945432;2022-08-09 22:33:08;normal
2022-08-09 22:38:08;36;2022-08-09 22:38:08;95;2022-08-09 22:38:08;468;2022-08-09 22:38:08;44;2022-08-09 22:38:08;0;2022-08-09 22:38:08;46;2022-08-09 22:38:08;1;2022-08-09 22:38:08;27.9;2022-08-09 22:38:08;1577945732;2022-08-09 22:38:08;normal
2022-08-09 22:43:07;37;2022-08-09 22:43:07;95;2022-08-09 22:43:07;476;2022-08-09 22:43:07;44;2022-08-09 22:43:07;0;2022-08-09 22:43:07;46;2022-08-09 22:43:07;1;2022-08-09 22:43:07;27.8;2022-08-09 22:43:07;1577946032;2022-08-09 22:43:07;normal
2022-08-09 22:48:07;37;2022-08-09 22:48:07;95;2022-08-09 22:48:07;451;2022-08-09 22:48:07;44;2022-08-09 22:48:07;0;2022-08-09 22:48:07;46;2022-08-09 22:48:07;1;2022-08-09 22:48:07;27.8;2022-08-09 22:48:07;1577946332;2022-08-09 22:48:07;normal
2022-08-09 22:53:08;37;2022-08-09 22:53:08;95;2022-08-09 22:53:08;466;2022-08-09 22:53:08;44;2022-08-09 22:53:08;0;2022-08-09 22:53:08;46;2022-08-09 22:53:08;1;2022-08-09 22:53:08;27.8;2022-08-09 22:53:08;1577946632;2022-08-09 22:53:08;normal
2022-08-09 22:58:08;37;2022-08-09 22:58:08;95;2022-08-09 22:58:08;474;2022-08-09 22:58:08;44;2022-08-09 22:58:08;0;2022-08-09 22:58:08;46;2022-08-09 22:58:08;1;2022-08-09 22:58:08;27.8;2022-08-09 22:58:08;1577946932;2022-08-09 22:58:08;normal
2022-08-09 23:03:07;36;2022-08-09 23:03:07;95;2022-08-09 23:03:07;485;2022-08-09 23:03:07;44;2022-08-09 23:03:07;0;2022-08-09 23:03:07;46;2022-08-09 23:03:07;1;2022-08-09 23:03:07;27.8;2022-08-09 23:03:07;1577947232;2022-08-09 23:03:07;normal
2022-08-09 23:08:07;37;2022-08-09 23:08:07;95;2022-08-09 23:08:07;477;2022-08-09 23:08:07;44;2022-08-09 23:08:07;0;2022-08-09 23:08:07;46;2022-08-09 23:08:07;1;2022-08-09 23:08:07;27.8;2022-08-09 23:08:07;1577947532;2022-08-09 23:08:07;normal
2022-08-09 23:13:07;36;2022-08-09 23:13:07;95;2022-08-09 23:13:07;488;2022-08-09 23:13:07;44;2022-08-09 23:13:07;0;2022-08-09 23:13:07;46;2022-08-09 23:13:07;1;2022-08-09 23:13:07;27.8;2022-08-09 23:13:07;1577947832;2022-08-09 23:13:07;normal
